oeisID	n	distinct	distinct average appearances	maximum bit length	minimum	less-than-maximum total	most common	most common appearances	bridges
A000682	10	13	1.0	20	15	13	15	1	8
A000682	10	24	1.6666666666666667	18	22	40	63	3	7
A000682	10	37	1.7027027027027026	16	15	63	255	3	6
A000682	10	56	1.7142857142857142	14	22	96	63	4	5
A000682	10	46	2.347826086956522	12	15	108	255	4	4
A000682	10	31	2.5806451612903225	10	22	80	63	4	3
A000682	10	10	3.9	8	15	39	252	5	2
A000682	10	4	3.0	6	22	12	63	4	1
A000682	10	1	3.0	4	15	3	15	3	0
A000682	11	15	1.0	22	22	15	63	1	9
A000682	11	27	1.6296296296296295	20	15	44	255	3	8
A000682	11	48	1.6666666666666667	18	22	80	63	3	7
A000682	11	72	1.6944444444444444	16	15	122	255	4	6
A000682	11	86	2.046511627906977	14	22	176	63	4	5
A000682	11	68	2.3676470588235294	12	15	161	91	4	4
A000682	11	32	3.34375	10	22	107	668	5	3
A000682	11	10	4.0	8	15	40	252	5	2
A000682	11	4	3.0	6	22	12	63	4	1
A000682	11	1	3.0	4	15	3	15	3	0
A000682	12	16	1.0	24	15	16	15	1	10
A000682	12	31	1.6451612903225807	22	22	51	63	3	9
A000682	12	53	1.6603773584905661	20	15	88	255	3	8
A000682	12	95	1.6105263157894736	18	22	153	63	4	7
A000682	12	116	1.9827586206896552	16	15	230	255	4	6
A000682	12	123	2.089430894308943	14	22	257	63	4	5
A000682	12	78	2.8205128205128207	12	15	220	252	5	4
A000682	12	32	3.5625	10	22	114	668	5	3
A000682	12	10	4.0	8	15	40	252	5	2
A000682	12	4	3.0	6	22	12	63	4	1
A000682	12	1	3.0	4	15	3	15	3	0
A000682	13	18	1.0	26	22	18	63	1	11
A000682	13	34	1.6176470588235294	24	15	55	255	3	10
A000682	13	64	1.640625	22	22	105	63	3	9
A000682	13	111	1.6126126126126126	20	15	179	255	4	8
A000682	13	170	1.8352941176470587	18	22	312	63	4	7
A000682	13	194	1.9896907216494846	16	15	386	91	4	6
A000682	13	177	2.3559322033898304	14	22	417	668	5	5
A000682	13	90	3.2111111111111112	12	15	289	252	5	4
A000682	13	32	3.90625	10	22	125	972	6	3
A000682	13	10	4.0	8	15	40	252	5	2
A000682	13	4	3.0	6	22	12	63	4	1
A000682	13	1	3.0	4	15	3	15	3	0
A000682	14	19	1.0	28	15	19	15	1	12
A000682	14	38	1.631578947368421	26	22	62	63	3	11
A000682	14	69	1.6376811594202898	24	15	113	255	3	10
A000682	14	134	1.5671641791044777	22	22	210	63	4	9
A000682	14	202	1.8217821782178218	20	15	368	255	4	8
A000682	14	291	1.8213058419243986	18	22	530	63	4	7
A000682	14	283	2.2402826855123674	16	15	634	252	5	6
A000682	14	220	2.540909090909091	14	22	559	668	5	5
A000682	14	90	3.7333333333333334	12	15	336	2780	6	4
A000682	14	32	3.90625	10	22	125	972	6	3
A000682	14	10	4.0	8	15	40	252	5	2
A000682	14	4	3.0	6	22	12	63	4	1
A000682	14	1	3.0	4	15	3	15	3	0
A000682	15	21	1.0	30	22	21	63	1	13
A000682	15	41	1.6097560975609757	28	15	66	255	3	12
A000682	15	80	1.625	26	22	130	63	3	11
A000682	15	150	1.5733333333333333	24	15	236	255	4	10
A000682	15	258	1.751937984496124	22	22	452	63	4	9
A000682	15	378	1.791005291005291	20	15	677	91	4	8
A000682	15	470	2.027659574468085	18	22	953	668	5	7
A000682	15	433	2.3117782909930717	16	15	1001	252	5	6
A000682	15	270	2.922222222222222	14	22	789	972	6	5
A000682	15	90	4.177777777777778	12	15	376	2780	6	4
A000682	15	32	3.90625	10	22	125	972	6	3
A000682	15	10	4.0	8	15	40	252	5	2
A000682	15	4	3.0	6	22	12	63	4	1
A000682	15	1	3.0	4	15	3	15	3	0
A000682	16	22	1.0	32	15	22	15	1	14
A000682	16	45	1.6222222222222222	30	22	73	63	3	13
A000682	16	85	1.6235294117647059	28	15	138	255	3	12
A000682	16	173	1.5433526011560694	26	22	267	63	4	11
A000682	16	290	1.7517241379310344	24	15	508	255	4	10
A000682	16	493	1.7018255578093306	22	22	839	63	4	9
A000682	16	636	1.9591194968553458	20	15	1246	252	5	8
A000682	16	711	2.119549929676512	18	22	1507	668	5	7
A000682	16	572	2.5174825174825175	16	15	1440	2780	6	6
A000682	16	285	3.329824561403509	14	22	949	972	6	5
A000682	16	90	4.344444444444444	12	15	391	4044	7	4
A000682	16	32	3.90625	10	22	125	972	6	3
A000682	16	10	4.0	8	15	40	252	5	2
A000682	16	4	3.0	6	22	12	63	4	1
A000682	16	1	3.0	4	15	3	15	3	0
A000682	17	24	1.0	34	22	24	63	1	15
A000682	17	48	1.6041666666666667	32	15	77	255	3	14
A000682	17	96	1.6145833333333333	30	22	155	63	3	13
A000682	17	189	1.5502645502645502	28	15	293	255	4	12
A000682	17	346	1.7109826589595376	26	22	592	63	4	11
A000682	17	582	1.697594501718213	24	15	988	91	4	10
A000682	17	895	1.8335195530726256	22	22	1641	668	5	9
A000682	17	1074	2.0232774674115457	20	15	2173	252	5	8
A000682	17	1105	2.2298642533936652	18	22	2464	972	6	7
A000682	17	750	2.7866666666666666	16	15	2090	2780	6	6
A000682	17	286	3.9335664335664338	14	22	1125	10700	7	5
A000682	17	90	4.355555555555555	12	15	392	4044	7	4
A000682	17	32	3.90625	10	22	125	972	6	3
A000682	17	10	4.0	8	15	40	252	5	2
A000682	17	4	3.0	6	22	12	63	4	1
A000682	17	1	3.0	4	15	3	15	3	0
A000682	18	25	1.0	36	15	25	15	1	16
A000682	18	52	1.6153846153846154	34	22	84	63	3	15
A000682	18	101	1.613861386138614	32	15	163	255	3	14
A000682	18	212	1.528301886792453	30	22	324	63	4	13
A000682	18	378	1.7142857142857142	28	15	648	255	4	12
A000682	18	699	1.648068669527897	26	22	1152	63	4	11
A000682	18	1081	1.8094357076780758	24	15	1956	252	5	10
A000682	18	1528	1.8985602094240839	22	22	2901	668	5	9
A000682	18	1691	2.124778237729154	20	15	3593	2780	6	8
A000682	18	1517	2.404087013843111	18	22	3647	972	6	7
A000682	18	847	3.112160566706021	16	15	2636	4044	7	6
A000682	18	286	4.22027972027972	14	22	1207	10700	7	5
A000682	18	90	4.355555555555555	12	15	392	4044	7	4
A000682	18	32	3.90625	10	22	125	972	6	3
A000682	18	10	4.0	8	15	40	252	5	2
A000682	18	4	3.0	6	22	12	63	4	1
A000682	18	1	3.0	4	15	3	15	3	0
A000682	19	27	1.0	38	22	27	63	1	17
A000682	19	55	1.6	36	15	88	255	3	16
A000682	19	112	1.6071428571428572	34	22	180	63	3	15
A000682	19	228	1.5350877192982457	32	15	350	255	4	14
A000682	19	434	1.6866359447004609	30	22	732	63	4	13
A000682	19	788	1.651015228426396	28	15	1301	91	4	12
A000682	19	1362	1.7422907488986785	26	22	2373	668	5	11
A000682	19	1985	1.8544080604534006	24	15	3681	252	5	10
A000682	19	2592	1.9841820987654322	22	22	5143	972	6	9
A000682	19	2693	2.220943186037876	20	15	5981	2780	6	8
A000682	19	2109	2.5742057847321007	18	22	5429	10700	7	7
A000682	19	895	3.7173184357541897	16	15	3327	4044	7	6
A000682	19	286	4.384615384615385	14	22	1254	15564	8	5
A000682	19	90	4.355555555555555	12	15	392	4044	7	4
A000682	19	32	3.90625	10	22	125	972	6	3
A000682	19	10	4.0	8	15	40	252	5	2
A000682	19	4	3.0	6	22	12	63	4	1
A000682	19	1	3.0	4	15	3	15	3	0
A000682	20	28	1.0	40	15	28	15	1	18
A000682	20	59	1.6101694915254237	38	22	95	63	3	17
A000682	20	117	1.606837606837607	36	15	188	255	3	16
A000682	20	251	1.5179282868525896	34	22	381	63	4	15
A000682	20	466	1.6909871244635193	32	15	788	255	4	14
A000682	20	905	1.6187845303867403	30	22	1465	63	4	13
A000682	20	1550	1.735483870967742	28	15	2690	252	5	12
A000682	20	2549	1.7744213417026284	26	22	4523	668	5	11
A000682	20	3462	1.9225880993645292	24	15	6656	2780	6	10
A000682	20	4118	2.090820786789704	22	22	8610	972	6	9
A000682	20	3912	2.314928425357873	20	15	9056	4044	7	8
A000682	20	2507	2.9034702832070205	18	22	7279	10700	7	7
A000682	20	895	4.122905027932961	16	15	3690	44492	8	6
A000682	20	286	4.384615384615385	14	22	1254	15564	8	5
A000682	20	90	4.355555555555555	12	15	392	4044	7	4
A000682	20	32	3.90625	10	22	125	972	6	3
A000682	20	10	4.0	8	15	40	252	5	2
A000682	20	4	3.0	6	22	12	63	4	1
A000682	20	1	3.0	4	15	3	15	3	0
A000682	21	30	1.0	42	22	30	63	1	19
A000682	21	62	1.596774193548387	40	15	99	255	3	18
A000682	21	128	1.6015625	38	22	205	63	3	17
A000682	21	267	1.5243445692883895	36	15	407	255	4	16
A000682	21	522	1.6704980842911878	34	22	872	63	4	15
A000682	21	994	1.6237424547283703	32	15	1614	91	4	14
A000682	21	1833	1.696126568466994	30	22	3109	668	5	13
A000682	21	3030	1.7587458745874587	28	15	5329	252	5	12
A000682	21	4699	1.8276228984890401	26	22	8588	972	6	11
A000682	21	5966	2.007039892725444	24	15	11974	2780	6	10
A000682	21	6737	2.1335906189698677	22	22	14374	10700	7	9
A000682	21	5633	2.5011539144328068	20	15	14089	4044	7	8
A000682	21	2886	3.297990297990298	18	22	9518	15564	8	7
A000682	21	895	4.4949720670391065	16	15	4023	44492	8	6
A000682	21	286	4.384615384615385	14	22	1254	15564	8	5
A000682	21	90	4.355555555555555	12	15	392	4044	7	4
A000682	21	32	3.90625	10	22	125	972	6	3
A000682	21	10	4.0	8	15	40	252	5	2
A000682	21	4	3.0	6	22	12	63	4	1
A000682	21	1	3.0	4	15	3	15	3	0
A000682	22	31	1.0	44	15	31	15	1	20
A000682	22	66	1.606060606060606	42	22	106	63	3	19
A000682	22	133	1.6015037593984962	40	15	213	255	3	18
A000682	22	290	1.5103448275862068	38	22	438	63	4	17
A000682	22	554	1.6750902527075813	36	15	928	255	4	16
A000682	22	1111	1.6003600360036003	34	22	1778	63	4	15
A000682	22	2021	1.6952003958436417	32	15	3426	252	5	14
A000682	22	3620	1.7118784530386741	30	22	6197	668	5	13
A000682	22	5705	1.7985977212971078	28	15	10261	2780	6	12
A000682	22	8145	1.9173726212400246	26	22	15617	972	6	11
A000682	22	9856	2.0490056818181817	24	15	20195	4044	7	10
A000682	22	9997	2.2685805741722516	22	22	22679	10700	7	9
A000682	22	7211	2.6917209818333103	20	15	19410	44492	8	8
A000682	22	2949	3.8189216683621567	18	22	11262	15564	8	7
A000682	22	895	4.5653631284916205	16	15	4086	64716	9	6
A000682	22	286	4.384615384615385	14	22	1254	15564	8	5
A000682	22	90	4.355555555555555	12	15	392	4044	7	4
A000682	22	32	3.90625	10	22	125	972	6	3
A000682	22	10	4.0	8	15	40	252	5	2
A000682	22	4	3.0	6	22	12	63	4	1
A000682	22	1	3.0	4	15	3	15	3	0
A000682	23	33	1.0	46	22	33	63	1	21
A000682	23	69	1.5942028985507246	44	15	110	255	3	20
A000682	23	144	1.5972222222222223	42	22	230	63	3	19
A000682	23	306	1.5163398692810457	40	15	464	255	4	18
A000682	23	610	1.659016393442623	38	22	1012	63	4	17
A000682	23	1200	1.6058333333333332	36	15	1927	91	4	16
A000682	23	2304	1.6688368055555556	34	22	3845	668	5	15
A000682	23	4103	1.707287350718986	32	15	7005	252	5	14
A000682	23	7098	1.7403493941955481	30	22	12353	972	6	13
A000682	23	10485	1.8705770147830234	28	15	19613	2780	6	12
A000682	23	14263	1.9526747528570427	26	22	27851	10700	7	11
A000682	23	16312	2.131927415399706	24	15	34776	4044	7	10
A000682	23	15086	2.361063237438685	22	22	35619	15564	8	9
A000682	23	8835	3.0599886813808714	20	15	27035	44492	8	8
A000682	23	2950	4.304745762711865	18	22	12699	171212	9	7
A000682	23	895	4.5664804469273745	16	15	4087	64716	9	6
A000682	23	286	4.384615384615385	14	22	1254	15564	8	5
A000682	23	90	4.355555555555555	12	15	392	4044	7	4
A000682	23	32	3.90625	10	22	125	972	6	3
A000682	23	10	4.0	8	15	40	252	5	2
A000682	23	4	3.0	6	22	12	63	4	1
A000682	23	1	3.0	4	15	3	15	3	0
A000682	24	34	1.0	48	15	34	15	1	22
A000682	24	73	1.6027397260273972	46	22	117	63	3	21
A000682	24	149	1.5973154362416107	44	15	238	255	3	20
A000682	24	329	1.5045592705167172	42	22	495	63	4	19
A000682	24	642	1.6635514018691588	40	15	1068	255	4	18
A000682	24	1317	1.5876993166287017	38	22	2091	63	4	17
A000682	24	2492	1.6701444622792938	36	15	4162	252	5	16
A000682	24	4695	1.6773162939297124	34	22	7875	668	5	15
A000682	24	8132	1.7284800787014265	32	15	14056	2780	6	14
A000682	24	13242	1.8038060715903943	30	22	23886	972	6	13
A000682	24	18700	1.900855614973262	28	15	35546	4044	7	12
A000682	24	23638	2.040274134867586	26	22	48228	10700	7	11
A000682	24	25283	2.189653126606811	24	15	55361	44492	8	10
A000682	24	20167	2.5675608667625327	22	22	51780	15564	8	9
A000682	24	9631	3.4377530889834906	20	15	33109	64716	9	8
A000682	24	2950	4.553220338983051	18	22	13432	171212	9	7
A000682	24	895	4.5664804469273745	16	15	4087	64716	9	6
A000682	24	286	4.384615384615385	14	22	1254	15564	8	5
A000682	24	90	4.355555555555555	12	15	392	4044	7	4
A000682	24	32	3.90625	10	22	125	972	6	3
A000682	24	10	4.0	8	15	40	252	5	2
A000682	24	4	3.0	6	22	12	63	4	1
A000682	24	1	3.0	4	15	3	15	3	0
A000682	25	36	1.0	50	22	36	63	1	23
A000682	25	76	1.5921052631578947	48	15	121	255	3	22
A000682	25	160	1.59375	46	22	255	63	3	21
A000682	25	345	1.510144927536232	44	15	521	255	4	20
A000682	25	698	1.6504297994269341	42	22	1152	63	4	19
A000682	25	1406	1.593172119487909	40	15	2240	91	4	18
A000682	25	2775	1.6508108108108108	38	22	4581	668	5	17
A000682	25	5178	1.6769022788721515	36	15	8683	252	5	16
A000682	25	9555	1.6931449502878075	34	22	16178	972	6	15
A000682	25	15768	1.7818366311516995	32	15	28096	2780	6	14
A000682	25	24625	1.8296852791878173	30	22	45056	10700	7	13
A000682	25	32983	1.9718946123760726	28	15	65039	4044	7	12
A000682	25	40065	2.0664669911393987	26	22	82793	15564	8	11
A000682	25	39122	2.306604979295537	24	15	90239	44492	8	10
A000682	25	26527	2.794812832208693	22	22	74138	171212	9	9
A000682	25	9823	4.062302758831314	20	15	39904	64716	9	8
A000682	25	2950	4.617966101694916	18	22	13623	249036	10	7
A000682	25	895	4.5664804469273745	16	15	4087	64716	9	6
A000682	25	286	4.384615384615385	14	22	1254	15564	8	5
A000682	25	90	4.355555555555555	12	15	392	4044	7	4
A000682	25	32	3.90625	10	22	125	972	6	3
A000682	25	10	4.0	8	15	40	252	5	2
A000682	25	4	3.0	6	22	12	63	4	1
A000682	25	1	3.0	4	15	3	15	3	0
A000682	26	37	1.0	52	15	37	15	1	24
A000682	26	80	1.6	50	22	128	63	3	23
A000682	26	165	1.593939393939394	48	15	263	255	3	22
A000682	26	368	1.5	46	22	552	63	4	21
A000682	26	730	1.6547945205479453	44	15	1208	255	4	20
A000682	26	1523	1.5784635587655942	42	22	2404	63	4	19
A000682	26	2963	1.6530543368207897	40	15	4898	252	5	18
A000682	26	5770	1.655632582322357	38	22	9553	668	5	17
A000682	26	10591	1.6885091115097723	36	15	17883	2780	6	16
A000682	26	18735	1.7391513210568454	34	22	32583	972	6	15
A000682	26	29850	1.799966499162479	32	15	53729	4044	7	14
A000682	26	43601	1.9063553588220454	30	22	83119	10700	7	13
A000682	26	56314	1.9995915758070817	28	15	112605	44492	8	12
