oeisID	n	distinct	distinct average appearances	maximum bit length	minimum	less-than-maximum total	most common	most common appearances	bridges
A005316	26	2397	1	25	22	3844	972	6	15
A005316	26	5012	1	27	15	8154	690317	7	14
A005316	26	10902	1	29	22	17650	10700	7	13
A005316	26	21281	1	28	15	35832	11045005	8	12
A005316	26	32006	1	26	22	60768	15564	8	11
A005316	26	36190	2	24	15	77851	44492	8	10
A005316	26	25422	2	22	22	70133	171212	9	9
A005316	26	9823	3	20	15	38473	64716	9	8
A005316	26	2950	4	18	22	13623	249036	10	7
A005316	26	895	4	16	15	4087	64716	9	6
A005316	26	286	4	14	22	1254	15564	8	5
A005316	26	90	4	12	15	392	4044	7	4
A005316	26	32	3	10	22	125	972	6	3
A005316	26	10	4	8	15	40	252	5	2
A005316	26	4	3	6	22	12	63	4	1
A005316	26	1	3	4	15	3	15	3	0
A005316	27	3	1	6	22	3	63	1	25
A005316	27	6	1	8	15	7	15	2	24
A005316	27	15	1	10	22	20	63	3	23
A005316	27	29	1	12	15	42	91	3	22
A005316	27	67	1	14	22	100	63	4	21
A005316	27	134	1	16	15	207	91	4	20
A005316	27	299	1	18	22	468	668	5	19
A005316	27	614	1	20	15	974	252	5	18
A005316	27	1348	1	22	22	2156	972	6	17
A005316	27	2813	1	24	15	4522	2780	6	16
A005316	27	6125	1	26	22	9903	10700	7	15
A005316	27	12905	1	28	15	20903	4044	7	14
A005316	27	27970	1	30	22	45494	15564	8	13
A005316	27	46413	1	28	15	83606	44492	8	12
A005316	27	62958	1	26	22	125113	171212	9	11
A005316	27	60170	2	24	15	140580	64716	9	10
A005316	27	31772	3	22	22	103352	249036	10	9
A005316	27	9823	4	20	15	44417	711884	10	8
A005316	27	2950	4	18	22	13623	249036	10	7
A005316	27	895	4	16	15	4087	64716	9	6
A005316	27	286	4	14	22	1254	15564	8	5
A005316	27	90	4	12	15	392	4044	7	4
A005316	27	32	3	10	22	125	972	6	3
A005316	27	10	4	8	15	40	252	5	2
A005316	27	4	3	6	22	12	63	4	1
A005316	27	1	3	4	15	3	15	3	0
A005316	28	2	1	7	15	2	91	1	26
A005316	28	6	1	9	22	6	63	1	25
A005316	28	11	1	11	15	16	91	3	24
A005316	28	27	1	13	22	37	63	3	23
A005316	28	52	1	15	15	81	91	4	22
A005316	28	119	1	17	22	180	63	4	21
A005316	28	239	1	19	15	382	2701	5	20
A005316	28	531	1	21	22	836	668	5	19
A005316	28	1094	1	23	15	1769	43149	6	18
A005316	28	2397	1	25	22	3844	972	6	17
A005316	28	5012	1	27	15	8154	690317	7	16
A005316	28	10902	1	29	22	17650	10700	7	15
A005316	28	22997	1	31	15	37548	11045005	8	14
A005316	28	46383	1	30	22	77653	15564	8	13
A005316	28	71743	1	28	15	133841	176720013	9	12
A005316	28	88066	2	26	22	183064	171212	9	11
A005316	28	71702	2	24	15	181838	64716	9	10
A005316	28	32360	3	22	22	115570	249036	10	9
A005316	28	9823	4	20	15	45005	711884	10	8
A005316	28	2950	4	18	22	13623	249036	10	7
A005316	28	895	4	16	15	4087	64716	9	6
A005316	28	286	4	14	22	1254	15564	8	5
A005316	28	90	4	12	15	392	4044	7	4
A005316	28	32	3	10	22	125	972	6	3
A005316	28	10	4	8	15	40	252	5	2
A005316	28	4	3	6	22	12	63	4	1
A005316	28	1	3	4	15	3	15	3	0
