oeisID	n	distinct	distinct average appearances	maximum bit length	minimum	less-than-maximum total	most common	most common appearances
A005316	3	4	1	6	15	6	15	3	
A005316	4	6	1	7	15	10	15	4	
A005316	5	10	2	8	15	23	15	6	
A005316	6	14	2	9	15	35	15	7	
A005316	7	25	2	10	15	69	15	9	
A005316	8	34	2	11	15	101	15	10	
A005316	9	57	3	12	15	185	15	12	
A005316	10	78	3	13	15	263	15	13	
A005316	11	136	3	14	15	470	63	16	
A005316	12	186	3	15	15	658	91	16	
A005316	13	319	3	16	15	1160	63	20	
A005316	14	435	3	17	15	1607	91	20	
A005316	15	763	3	18	15	2826	63	24	
A005316	16	1043	3	19	15	3904	91	24	
A005316	17	1820	3	20	15	6869	63	28	
A005316	18	2494	3	21	15	9456	91	28	
A005316	19	4419	3	22	15	16693	63	32	
A005316	20	6052	3	23	15	22961	91	32	
A005316	21	10704	3	24	15	40668	63	36	
A005316	22	14679	3	25	15	55903	972	37	
A005316	23	26212	3	26	15	99449	252	41	
A005316	24	35993	3	27	15	136725	972	43	
A005316	25	64353	3	28	15	244135	252	46	
A005316	26	88367	3	29	15	335551	972	49	
A005316	27	158910	3	30	15	601404	252	51	
A005316	28	218352	3	31	15	827013	972	55	
