n,k,buckets
38,37,2
38,36,6
38,35,16
38,34,37
38,33,81
38,32,180
38,31,382
38,30,836
38,29,1769
38,28,3844
38,27,8154
38,26,17650
38,25,37548
38,24,81085
38,23,172905
38,22,372820
38,21,796413
38,20,1715463
38,19,3576992
38,18,6760789
38,17,11131563
38,16,15644708
38,15,17071836
38,14,12828903
38,13,6074933
38,12,1961369
38,11,555469
38,10,159137
38,9,46181
38,8,13623
38,7,4087
38,6,1254
38,5,392
38,4,125
38,3,40
38,2,12
38,1,3
39,38,3
39,37,7
39,36,20
39,35,42
39,34,100
39,33,207
39,32,468
39,31,974
39,30,2156
39,29,4522
39,28,9903
39,27,20903
39,26,45494
39,25,96475
39,24,209157
39,23,445014
39,22,962310
39,21,2052330
39,20,4430191
39,19,8759139
39,18,15486485
39,17,24006862
39,16,30858030
39,15,29210465
39,14,17926722
39,13,6807852
39,12,1961369
39,11,555469
39,10,159137
39,9,46181
39,8,13623
39,7,4087
39,6,1254
39,5,392
39,4,125
39,3,40
39,2,12
39,1,3
40,39,2
40,38,6
40,37,16
40,36,37
40,35,81
40,34,180
40,33,382
40,32,836
40,31,1769
40,30,3844
40,29,8154
40,28,17650
40,27,37548
40,26,81085
40,25,172905
40,24,372820
40,23,796413
40,22,1715463
40,21,3669370
40,20,7713316
40,19,14698138
40,18,24860637
40,17,36397455
40,16,42829652
40,15,35925397
40,14,19484729
40,13,6864480
40,12,1961369
40,11,555469
40,10,159137
40,9,46181
40,8,13623
40,7,4087
40,6,1254
40,5,392
40,4,125
40,3,40
40,2,12
40,1,3
41,40,3
41,39,7
41,38,20
41,37,42
41,36,100
41,35,207
41,34,468
41,33,974
41,32,2156
41,31,4522
41,30,9903
41,29,20903
41,28,45494
41,27,96475
41,26,209157
41,25,445014
41,24,962310
41,23,2052330
41,22,4430191
41,21,9464570
41,20,18994094
41,19,34045550
41,18,54515804
41,17,73853223
41,16,76708059
41,15,53520920
41,14,23273349
41,13,6991893
41,12,1961369
41,11,555469
41,10,159137
41,9,46181
41,8,13623
41,7,4087
41,6,1254
41,5,392
41,4,125
41,3,40
41,2,12
41,1,3
42,41,2
42,40,6
42,39,16
42,38,37
42,37,81
42,36,180
42,35,382
42,34,836
42,33,1769
42,32,3844
42,31,8154
42,30,17650
42,29,37548
42,28,81085
42,27,172905
42,26,372820
42,25,796413
42,24,1715463
42,23,3669370
42,22,7898072
42,21,16557686
42,20,31988766
42,19,55177416
42,18,83959724
42,17,105195927
42,16,97727456
42,15,60149113
42,14,23830191
42,13,6991893
42,12,1961369
42,11,555469
42,10,159137
42,9,46181
42,8,13623
42,7,4087
42,6,1254
42,5,392
42,4,125
42,3,40
42,2,12
42,1,3
43,42,3
43,41,7
43,40,20
43,39,42
43,38,100
43,37,207
43,36,468
43,35,974
43,34,2156
43,33,4522
43,32,9903
43,31,20903
43,30,45494
43,29,96475
43,28,209157
43,27,445014
43,26,962310
43,25,2052330
43,24,4430191
43,23,9464570
43,22,20404957
43,21,40943562
43,20,74812320
43,19,122844418
43,18,174518576
43,17,196080750
43,16,154386778
43,15,76768508
43,14,25134208
43,13,6991893
43,12,1961369
43,11,555469
43,10,159137
43,9,46181
43,8,13623
43,7,4087
43,6,1254
43,5,392
43,4,125
43,3,40
44,43,2
44,42,6
44,41,16
44,40,37
44,39,81
44,38,180
44,37,382
44,36,836
44,35,1769
44,34,3844
44,33,8154
44,32,17650
44,31,37548
44,30,81085
44,29,172905
44,28,372820
44,27,796413
44,26,1715463
44,25,3669370
44,24,7898072
44,23,16910402
44,22,35674291
44,21,69384848
44,20,122221119
44,19,191816100
44,18,254319951
44,17,258090741
44,16,179755225
44,15,80336072
44,14,25134208
44,13,6991893
44,12,1961369
44,11,555469
44,10,159137
44,9,46181
44,8,13623
44,7,4087
44,6,1254
44,5,392
44,4,125
44,3,40
45,44,3
45,43,7
45,42,20
45,41,42
45,40,100
45,39,207
45,38,468
45,37,974
45,36,2156
45,35,4522
45,34,9903
45,33,20903
45,32,45494
45,31,96475
45,30,209157
45,29,445014
45,28,962310
45,27,2052330
45,26,4430191
45,25,9464570
45,24,20404957
45,23,43647717
45,22,88608749
45,21,163720027
