oeis	n	ExistingCurveLocationsDistinct	LessThanMaximumTotal	bridges
A000682	5	4	6	3
A000682	5	6	11	2
A000682	5	6	9	1
A000682	5	4	3	0
A000682	6	5	7	4
A000682	6	7	18	3
A000682	6	10	15	2
A000682	6	7	10	1
A000682	6	4	3	0
A000682	7	5	9	5
A000682	7	9	22	4
A000682	7	13	30	3
A000682	7	16	24	2
A000682	7	10	12	1
A000682	7	4	3	0
A000682	8	6	10	6
A000682	8	10	29	5
A000682	8	17	38	4
A000682	8	21	43	3
A000682	8	21	30	2
A000682	8	10	12	1
A000682	8	4	3	0
A000682	9	6	12	7
A000682	9	12	33	6
A000682	9	20	55	5
A000682	9	32	67	4
A000682	9	35	68	3
A000682	9	28	36	2
A000682	9	10	12	1
A000682	9	4	3	0
A000682	10	7	13	8
A000682	10	13	40	7
A000682	10	24	63	6
A000682	10	37	96	5
A000682	10	56	108	4
A000682	10	46	80	3
A000682	10	31	39	2
A000682	10	10	12	1
A000682	10	4	3	0
A000682	11	7	15	9
A000682	11	15	44	8
A000682	11	27	80	7
A000682	11	48	122	6
A000682	11	72	176	5
A000682	11	86	161	4
A000682	11	68	107	3
A000682	11	32	40	2
A000682	11	10	12	1
A000682	11	4	3	0
A000682	12	8	16	10
A000682	12	16	51	9
A000682	12	31	88	8
A000682	12	53	153	7
A000682	12	95	230	6
A000682	12	116	257	5
A000682	12	123	220	4
A000682	12	78	114	3
A000682	12	32	40	2
A000682	12	10	12	1
A000682	12	4	3	0
A000682	13	8	18	11
A000682	13	18	55	10
A000682	13	34	105	9
A000682	13	64	179	8
A000682	13	111	312	7
A000682	13	170	386	6
A000682	13	194	417	5
A000682	13	177	289	4
A000682	13	90	125	3
A000682	13	32	40	2
A000682	13	10	12	1
A000682	13	4	3	0
A000682	14	9	19	12
A000682	14	19	62	11
A000682	14	38	113	10
A000682	14	69	210	9
A000682	14	134	368	8
A000682	14	202	530	7
A000682	14	291	634	6
A000682	14	283	559	5
A000682	14	220	336	4
A000682	14	90	125	3
A000682	14	32	40	2
A000682	14	10	12	1
A000682	14	4	3	0
A000682	15	9	21	13
A000682	15	21	66	12
A000682	15	41	130	11
A000682	15	80	236	10
A000682	15	150	452	9
A000682	15	258	677	8
A000682	15	378	953	7
A000682	15	470	1001	6
A000682	15	433	789	5
A000682	15	270	376	4
A000682	15	90	125	3
A000682	15	32	40	2
A000682	15	10	12	1
A000682	15	4	3	0
A000682	16	10	22	14
A000682	16	22	73	13
A000682	16	45	138	12
A000682	16	85	267	11
A000682	16	173	508	10
A000682	16	290	839	9
A000682	16	493	1246	8
A000682	16	636	1507	7
A000682	16	711	1440	6
A000682	16	572	949	5
A000682	16	285	391	4
A000682	16	90	125	3
A000682	16	32	40	2
A000682	16	10	12	1
A000682	16	4	3	0
A000682	17	10	24	15
A000682	17	24	77	14
A000682	17	48	155	13
A000682	17	96	293	12
A000682	17	189	592	11
A000682	17	346	988	10
A000682	17	582	1641	9
A000682	17	895	2173	8
A000682	17	1074	2464	7
A000682	17	1105	2090	6
A000682	17	750	1125	5
A000682	17	286	392	4
A000682	17	90	125	3
A000682	17	32	40	2
A000682	17	10	12	1
A000682	17	4	3	0
A000682	18	11	25	16
A000682	18	25	84	15
A000682	18	52	163	14
A000682	18	101	324	13
A000682	18	212	648	12
A000682	18	378	1152	11
A000682	18	699	1956	10
A000682	18	1081	2901	9
A000682	18	1528	3593	8
A000682	18	1691	3647	7
A000682	18	1517	2636	6
A000682	18	847	1207	5
A000682	18	286	392	4
A000682	18	90	125	3
A000682	18	32	40	2
A000682	18	10	12	1
A000682	18	4	3	0
A000682	19	11	27	17
A000682	19	27	88	16
A000682	19	55	180	15
A000682	19	112	350	14
A000682	19	228	732	13
A000682	19	434	1301	12
A000682	19	788	2373	11
A000682	19	1362	3681	10
A000682	19	1985	5143	9
A000682	19	2592	5981	8
A000682	19	2693	5429	7
A000682	19	2109	3327	6
A000682	19	895	1254	5
A000682	19	286	392	4
A000682	19	90	125	3
A000682	19	32	40	2
A000682	19	10	12	1
A000682	19	4	3	0
A000682	20	12	28	18
A000682	20	28	95	17
A000682	20	59	188	16
A000682	20	117	381	15
A000682	20	251	788	14
A000682	20	466	1465	13
A000682	20	905	2690	12
A000682	20	1550	4523	11
A000682	20	2549	6656	10
A000682	20	3462	8610	9
A000682	20	4118	9056	8
A000682	20	3912	7279	7
A000682	20	2507	3690	6
A000682	20	895	1254	5
A000682	20	286	392	4
A000682	20	90	125	3
A000682	20	32	40	2
A000682	20	10	12	1
A000682	20	4	3	0
A000682	21	12	30	19
A000682	21	30	99	18
A000682	21	62	205	17
A000682	21	128	407	16
A000682	21	267	872	15
A000682	21	522	1614	14
A000682	21	994	3109	13
A000682	21	1833	5329	12
A000682	21	3030	8588	11
A000682	21	4699	11974	10
A000682	21	5966	14374	9
A000682	21	6737	14089	8
A000682	21	5633	9518	7
A000682	21	2886	4023	6
A000682	21	895	1254	5
A000682	21	286	392	4
A000682	21	90	125	3
A000682	21	32	40	2
A000682	21	10	12	1
A000682	21	4	3	0
A000682	22	13	31	20
A000682	22	31	106	19
A000682	22	66	213	18
A000682	22	133	438	17
A000682	22	290	928	16
A000682	22	554	1778	15
A000682	22	1111	3426	14
A000682	22	2021	6197	13
A000682	22	3620	10261	12
A000682	22	5705	15617	11
A000682	22	8145	20195	10
A000682	22	9856	22679	9
A000682	22	9997	19410	8
A000682	22	7211	11262	7
A000682	22	2949	4086	6
A000682	22	895	1254	5
A000682	22	286	392	4
A000682	22	90	125	3
A000682	22	32	40	2
A000682	22	10	12	1
A000682	22	4	3	0
A000682	23	13	33	21
A000682	23	33	110	20
A000682	23	69	230	19
A000682	23	144	464	18
A000682	23	306	1012	17
A000682	23	610	1927	16
A000682	23	1200	3845	15
A000682	23	2304	7005	14
A000682	23	4103	12353	13
A000682	23	7098	19613	12
A000682	23	10485	27851	11
A000682	23	14263	34776	10
A000682	23	16312	35619	9
A000682	23	15086	27035	8
A000682	23	8835	12699	7
A000682	23	2950	4087	6
A000682	23	895	1254	5
A000682	23	286	392	4
A000682	23	90	125	3
A000682	23	32	40	2
A000682	23	10	12	1
A000682	23	4	3	0
A000682	24	14	34	22
A000682	24	34	117	21
A000682	24	73	238	20
A000682	24	149	495	19
A000682	24	329	1068	18
A000682	24	642	2091	17
A000682	24	1317	4162	16
A000682	24	2492	7875	15
A000682	24	4695	14056	14
A000682	24	8132	23886	13
A000682	24	13242	35546	12
A000682	24	18700	48228	11
A000682	24	23638	55361	10
A000682	24	25283	51780	9
A000682	24	20167	33109	8
A000682	24	9631	13432	7
A000682	24	2950	4087	6
A000682	24	895	1254	5
A000682	24	286	392	4
A000682	24	90	125	3
A000682	24	32	40	2
A000682	24	10	12	1
A000682	24	4	3	0
A000682	25	14	36	23
A000682	25	36	121	22
A000682	25	76	255	21
A000682	25	160	521	20
A000682	25	345	1152	19
A000682	25	698	2240	18
A000682	25	1406	4581	17
A000682	25	2775	8683	16
A000682	25	5178	16178	15
A000682	25	9555	28096	14
A000682	25	15768	45056	13
A000682	25	24625	65039	12
A000682	25	32983	82793	11
A000682	25	40065	90239	10
A000682	25	39122	74138	9
A000682	25	26527	39904	8
A000682	25	9823	13623	7
A000682	25	2950	4087	6
A000682	25	895	1254	5
A000682	25	286	392	4
A000682	25	90	125	3
A000682	25	32	40	2
A000682	25	10	12	1
A000682	25	4	3	0
A000682	26	15	37	24
A000682	26	37	128	23
A000682	26	80	263	22
A000682	26	165	552	21
A000682	26	368	1208	20
A000682	26	730	2404	19
A000682	26	1523	4898	18
A000682	26	2963	9553	17
A000682	26	5770	17883	16
A000682	26	10591	32583	15
A000682	26	18735	53729	14
A000682	26	29850	83119	13
A000682	26	43601	112605	12
A000682	26	56314	136324	11
A000682	26	63216	134146	10
A000682	26	55180	96401	9
A000682	26	30509	43344	8
A000682	26	9823	13623	7
A000682	26	2950	4087	6
A000682	26	895	1254	5
A000682	26	286	392	4
A000682	26	90	125	3
A000682	26	32	40	2
A000682	26	10	12	1
A000682	26	4	3	0
A000682	27	15	39	25
A000682	27	39	132	24
A000682	27	83	280	23
A000682	27	176	578	22
A000682	27	384	1292	21
A000682	27	786	2553	20
A000682	27	1612	5317	19
A000682	27	3246	10361	18
A000682	27	6253	20007	17
A000682	27	12016	36827	16
A000682	27	21293	64215	15
A000682	27	36691	103210	14
A000682	27	55382	150571	13
A000682	27	78026	198326	12
A000682	27	96450	224238	11
A000682	27	100970	200991	10
A000682	27	76211	121280	9
A000682	27	33280	45925	8
A000682	27	9823	13623	7
A000682	27	2950	4087	6
A000682	27	895	1254	5
A000682	27	286	392	4
A000682	27	90	125	3
A000682	27	32	40	2
A000682	27	10	12	1
A000682	27	4	3	0
A000682	28	40	139	25
A000682	28	87	288	24
A000682	28	181	609	23
A000682	28	407	1348	22
A000682	28	818	2717	21
A000682	28	1729	5634	20
A000682	28	3434	11231	19
A000682	28	6845	21712	18
A000682	28	13052	41348	17
A000682	28	24294	73164	16
A000682	28	42160	124546	15
A000682	28	68828	189339	14
A000682	28	100347	266489	13
A000682	28	133964	329564	12
A000682	28	156729	346088	11
A000682	28	147507	271474	10
A000682	28	93600	139089	9
A000682	28	33535	46180	8
A000682	28	9823	13623	7
A000682	28	2950	4087	6
A000682	28	895	1254	5
A000682	28	286	392	4
A000682	28	90	125	3
A000682	28	32	40	2
A000682	28	10	12	1
A000682	28	4	3	0
A000682	29	42	143	26
A000682	29	90	305	25
A000682	29	192	635	24
A000682	29	423	1432	23
A000682	29	874	2866	22
A000682	29	1818	6053	21
A000682	29	3717	12039	20
A000682	29	7328	23836	19
A000682	29	14477	45594	18
A000682	29	26854	83926	17
A000682	29	49273	146073	16
A000682	29	81797	236133	15
A000682	29	128861	350057	14
A000682	29	180908	469849	13
A000682	29	233250	555810	12
A000682	29	255602	532050	11
A000682	29	213561	360894	10
A000682	29	109141	152627	9
A000682	29	33536	46181	8
A000682	29	9823	13623	7
A000682	29	2950	4087	6
A000682	29	895	1254	5
A000682	29	286	392	4
A000682	29	90	125	3
A000682	29	32	40	2
A000682	29	10	12	1
A000682	29	4	3	0
A000682	30	43	150	27
A000682	30	94	313	26
A000682	30	197	666	25
A000682	30	446	1488	24
A000682	30	906	3030	23
A000682	30	1935	6370	22
A000682	30	3905	12909	21
A000682	30	7920	25541	20
A000682	30	15513	50117	19
A000682	30	29857	92913	18
A000682	30	54778	168843	17
A000682	30	96609	280349	16
A000682	30	155380	439394	15
A000682	30	232988	621359	14
A000682	30	316779	798513	13
A000682	30	385448	876756	12
A000682	30	387059	751023	11
A000682	30	277197	432710	10
A000682	30	115139	158370	9
A000682	30	33536	46181	8
A000682	30	9823	13623	7
A000682	30	2950	4087	6
A000682	30	895	1254	5
A000682	30	286	392	4
A000682	30	90	125	3
A000682	30	32	40	2
A000682	30	10	12	1
A000682	30	4	3	0
A000682	31	97	330	27
A000682	31	208	692	26
A000682	31	462	1572	25
A000682	31	962	3179	24
A000682	31	2024	6789	23
A000682	31	4188	13717	22
A000682	31	8403	27665	21
A000682	31	16938	54363	20
A000682	31	32417	103713	19
A000682	31	61929	190716	18
A000682	31	109888	332563	17
A000682	31	188764	539352	16
A000682	31	291640	809394	15
A000682	31	424058	1113810	14
A000682	31	557714	1362571	13
A000682	31	641766	1388349	12
A000682	31	582147	1042754	11
A000682	31	345577	500370	10
A000682	31	115907	159137	9
A000682	31	33536	46181	8
A000682	31	9823	13623	7
A000682	31	2950	4087	6
A000682	31	895	1254	5
A000682	31	286	392	4
A000682	31	90	125	3
A000682	31	32	40	2
A000682	31	10	12	1
A000682	31	4	3	0
A000682	32	213	723	27
A000682	32	485	1628	26
A000682	32	994	3343	25
A000682	32	2141	7106	24
A000682	32	4376	14587	23
A000682	32	8995	29370	22
A000682	32	17974	58886	21
A000682	32	35420	112702	20
A000682	32	67436	213832	19
A000682	32	125042	378801	18
A000682	32	216991	644901	17
A000682	32	357068	1003146	16
A000682	32	535485	1457001	15
A000682	32	748586	1915119	14
A000682	32	939680	2202762	13
A000682	32	1000525	2030967	12
A000682	32	793970	1312481	11
A000682	32	385680	535497	10
A000682	32	115907	159137	9
A000682	32	33536	46181	8
A000682	32	9823	13623	7
A000682	32	2950	4087	6
A000682	32	895	1254	5
A000682	32	286	392	4
A000682	32	90	125	3
A000682	32	32	40	2
A000682	32	10	12	1
A000682	32	4	3	0
A000682	33	501	1712	27
A000682	33	1050	3492	26
A000682	33	2230	7525	25
A000682	33	4659	15395	24
A000682	33	9478	31494	23
A000682	33	19399	63132	22
A000682	33	37980	123504	21
A000682	33	74589	235747	20
A000682	33	138361	433035	19
A000682	33	252319	753455	18
A000682	33	422538	1232751	17
A000682	33	673266	1871038	16
A000682	33	983050	2626659	15
A000682	33	1332136	3319434	14
A000682	33	1593398	3570650	13
A000682	33	1552529	2933353	12
A000682	33	1051296	1598645	11
A000682	33	405394	554445	10
A000682	33	115907	159137	9
A000682	33	33536	46181	8
A000682	33	9823	13623	7
A000682	33	2950	4087	6
