oeis	n	ExistingCurveLocationsDistinct	LessThanMaximumTotal	bridges
A000682	33	895	1254	5
A000682	33	286	392	4
A000682	33	90	125	3
A000682	33	32	40	2
A000682	33	10	12	1
A000682	33	4	3	0
A000682	34	1082	3656	27
A000682	34	2347	7842	26
A000682	34	4847	16265	25
A000682	34	10070	33199	24
A000682	34	20435	67655	23
A000682	34	40983	132493	22
A000682	34	80096	258905	21
A000682	34	153557	479697	20
A000682	34	280930	867568	19
A000682	34	495840	1455199	18
A000682	34	805983	2311329	17
A000682	34	1238978	3390891	16
A000682	34	1757432	4580341	15
A000682	34	2279954	5477009	14
A000682	34	2546032	5387332	13
A000682	34	2213989	3871817	12
A000682	34	1243553	1783151	11
A000682	34	406417	555468	10
A000682	34	115907	159137	9
A000682	34	33536	46181	8
A000682	34	9823	13623	7
A000682	34	2950	4087	6
A000682	34	895	1254	5
A000682	34	286	392	4
A000682	34	90	125	3
A000682	34	32	40	2
A000682	34	10	12	1
A000682	34	4	3	0
A000682	35	2436	8261	27
A000682	35	5130	17073	26
A000682	35	10553	35323	25
A000682	35	21860	71901	24
A000682	35	43543	143295	23
A000682	35	87249	280822	22
A000682	35	166878	534355	21
A000682	35	316678	978874	20
A000682	35	563674	1713264	19
A000682	35	968216	2805336	18
A000682	35	1528776	4319575	17
A000682	35	2287668	6173318	16
A000682	35	3162486	8040691	15
A000682	35	3921211	9052952	14
A000682	35	4066968	8074634	13
A000682	35	3077718	4947978	12
A000682	35	1393068	1916024	11
A000682	35	406418	555469	10
A000682	35	115907	159137	9
A000682	35	33536	46181	8
A000682	35	9823	13623	7
A000682	35	2950	4087	6
A000682	35	895	1254	5
A000682	35	286	392	4
A000682	35	90	125	3
A000682	35	32	40	2
A000682	35	10	12	1
A000682	35	4	3	0
A000682	36	5318	17943	27
A000682	36	11145	37028	26
A000682	36	22896	76424	25
A000682	36	46546	152284	24
A000682	36	92756	303982	23
A000682	36	182076	581063	22
A000682	36	345333	1095737	21
A000682	36	639642	1948698	20
A000682	36	1111477	3324541	19
A000682	36	1846568	5281405	18
A000682	36	2841020	7892629	17
A000682	36	4127242	10900076	16
A000682	36	5485678	13487427	15
A000682	36	6413539	14076760	14
A000682	36	6009119	11088900	13
A000682	36	3865629	5797537	12
A000682	36	1436365	1958298	11
A000682	36	406418	555469	10
A000682	36	115907	159137	9
A000682	36	33536	46181	8
A000682	36	9823	13623	7
A000682	36	2950	4087	6
A000682	36	895	1254	5
A000682	36	286	392	4
A000682	36	90	125	3
A000682	36	32	40	2
A000682	36	10	12	1
A000682	36	4	3	0
A000682	37	11628	39152	27
A000682	37	24321	80670	26
A000682	37	49106	163086	25
A000682	37	99909	325899	24
A000682	37	195397	635767	23
A000682	37	381127	1207553	22
A000682	37	707942	2219713	21
A000682	37	1285814	3866456	20
A000682	37	2173000	6404525	19
A000682	37	3508524	9938076	18
A000682	37	5292602	14483567	17
A000682	37	7482062	19330045	16
A000682	37	9580429	22742215	15
A000682	37	10469002	21703962	14
A000682	37	8741927	14900810	13
A000682	37	4608679	6495557	12
A000682	37	1439437	1961369	11
A000682	37	406418	555469	10
A000682	37	115907	159137	9
A000682	37	33536	46181	8
A000682	37	9823	13623	7
A000682	37	2950	4087	6
A000682	37	895	1254	5
A000682	37	286	392	4
A000682	37	90	125	3
A000682	37	32	40	2
A000682	37	10	12	1
A000682	37	4	3	0
A000682	38	25357	85193	27
A000682	38	52109	172075	26
A000682	38	105416	349059	25
A000682	38	210595	682477	24
A000682	38	409784	1324926	23
A000682	38	784416	2458789	22
A000682	38	1432247	4433267	21
A000682	38	2532936	7512109	20
A000682	38	4166576	12103327	19
A000682	38	6549908	18313082	18
A000682	38	9630981	25810004	17
A000682	38	13156464	33004715	16
A000682	38	15951059	36166618	15
A000682	38	16003046	31051366	14
A000682	38	11543299	18240006	13
A000682	38	5005157	6852832	12
A000682	38	1439437	1961369	11
A000682	38	406418	555469	10
A000682	38	115907	159137	9
A000682	38	33536	46181	8
A000682	38	9823	13623	7
A000682	38	2950	4087	6
A000682	38	895	1254	5
A000682	38	286	392	4
A000682	38	90	125	3
A000682	38	32	40	2
A000682	38	10	12	1
A000682	38	4	3	0
A000682	39	54669	182877	27
A000682	39	112569	370976	26
A000682	39	223916	737183	25
A000682	39	445580	1436792	24
A000682	39	852764	2733444	23
A000682	39	1610132	4994096	22
A000682	39	2875024	8779423	21
A000682	39	4952688	14532802	20
A000682	39	7974228	22886195	19
A000682	39	12248605	33811401	18
A000682	39	17635953	46318997	17
A000682	39	23218716	56431443	16
A000682	39	26617330	57413054	15
A000682	39	24108717	43415133	14
A000682	39	14664097	21545392	13
A000682	39	5143192	6987797	12
A000682	39	1439437	1961369	11
A000682	39	406418	555469	10
A000682	39	115907	159137	9
A000682	39	33536	46181	8
A000682	39	9823	13623	7
A000682	39	2950	4087	6
A000682	39	895	1254	5
A000682	39	286	392	4
A000682	39	90	125	3
A000682	39	32	40	2
A000682	39	10	12	1
A000682	39	4	3	0
