1	0
2	0
3	2
4	4
5	16
6	38
7	132
8	342
9	1144
10	3134
11	10370
12	29526
13	97458
14	285458
15	942920
16	2822310
17	9341008
18	28440970
19	94358558
20	291294678
21	968853072
22	3025232480
23	10086634316
24	31797822936
25	106265437078
26	337731551446
27	1131117792978
28	3620119437762
29	12148796744234
30	39118879440938
31	131524263640860
32	425767212114698
33	1433969415095820
34	4663913607044970
35	15732954594307070
36	51385444183384422
37	173596448392823520
38	569114543553010700
39	1925284104537081788
40	6333161348317922260
41	21452007731395012448
42	70781739031653641536

