kind,n,boundary,buckets,arcCodes,bitWidthArcCode,bitWidthMeanders
semi,2,2,0,3,10,1
semi,2,1,1,1,4,1
semi,3,3,0,3,12,1
semi,3,2,3,3,6,1
semi,3,1,2,1,4,2
semi,4,4,0,4,14,1
semi,4,3,4,4,8,1
semi,4,2,7,3,6,2
semi,4,1,2,1,4,3
semi,5,5,0,4,16,1
semi,5,4,6,6,10,1
semi,5,3,11,6,8,2
semi,5,2,9,4,6,3
semi,5,1,3,1,4,4
semi,6,6,0,5,18,1
semi,6,5,7,7,12,1
semi,6,4,18,10,10,2
semi,6,3,15,7,8,3
semi,6,2,10,4,6,5
semi,6,1,3,1,4,5
semi,7,7,0,5,20,1
semi,7,6,9,9,14,1
semi,7,5,22,13,12,2
semi,7,4,30,16,10,3
semi,7,3,24,10,8,5
semi,7,2,12,4,6,6
semi,7,1,3,1,4,7
semi,8,8,0,6,22,1
semi,8,7,10,10,16,1
semi,8,6,29,17,14,2
semi,8,5,38,21,12,3
semi,8,4,43,21,10,5
semi,8,3,30,10,8,6
semi,8,2,12,4,6,8
semi,8,1,3,1,4,8
semi,9,9,0,6,24,1
semi,9,8,12,12,18,1
semi,9,7,33,20,16,2
semi,9,6,55,32,14,3
semi,9,5,67,35,12,5
semi,9,4,68,28,10,6
semi,9,3,36,10,8,8
semi,9,2,12,4,6,9
semi,9,1,3,1,4,9
semi,10,10,0,7,26,1
semi,10,9,13,13,20,1
semi,10,8,40,24,18,2
semi,10,7,63,37,16,3
semi,10,6,96,56,14,5
semi,10,5,108,46,12,6
semi,10,4,80,31,10,8
semi,10,3,39,10,8,9
semi,10,2,12,4,6,11
semi,10,1,3,1,4,11
semi,11,11,0,7,28,1
semi,11,10,15,15,22,1
semi,11,9,44,27,20,2
semi,11,8,80,48,18,3
semi,11,7,122,72,16,5
semi,11,6,176,86,14,6
semi,11,5,161,68,12,8
semi,11,4,107,32,10,9
semi,11,3,40,10,8,11
semi,11,2,12,4,6,12
semi,11,1,3,1,4,13
semi,12,12,0,8,30,1
semi,12,11,16,16,24,1
semi,12,10,51,31,22,2
semi,12,9,88,53,20,3
semi,12,8,153,95,18,5
semi,12,7,230,116,16,6
semi,12,6,257,123,14,8
semi,12,5,220,78,12,9
semi,12,4,114,32,10,11
semi,12,3,40,10,8,12
semi,12,2,12,4,6,14
semi,12,1,3,1,4,14
semi,13,13,0,8,32,1
semi,13,12,18,18,26,1
semi,13,11,55,34,24,2
semi,13,10,105,64,22,3
semi,13,9,179,111,20,5
semi,13,8,312,170,18,6
semi,13,7,386,194,16,8
semi,13,6,417,177,14,9
semi,13,5,289,90,12,11
semi,13,4,125,32,10,12
semi,13,3,40,10,8,14
semi,13,2,12,4,6,15
semi,13,1,3,1,4,16
semi,14,14,0,9,34,1
semi,14,13,19,19,28,1
semi,14,12,62,38,26,2
semi,14,11,113,69,24,3
semi,14,10,210,134,22,5
semi,14,9,368,202,20,6
semi,14,8,530,291,18,8
semi,14,7,634,283,16,9
semi,14,6,559,220,14,11
semi,14,5,336,90,12,13
semi,14,4,125,32,10,14
semi,14,3,40,10,8,16
semi,14,2,12,4,6,17
semi,14,1,3,1,4,17
semi,15,15,0,9,36,1
semi,15,14,21,21,30,1
semi,15,13,66,41,28,2
semi,15,12,130,80,26,3
semi,15,11,236,150,24,5
semi,15,10,452,258,22,6
semi,15,9,677,378,20,8
semi,15,8,953,470,18,9
semi,15,7,1001,433,16,11
semi,15,6,789,270,14,13
semi,15,5,376,90,12,14
semi,15,4,125,32,10,16
semi,15,3,40,10,8,17
semi,15,2,12,4,6,18
semi,15,1,3,1,4,19
semi,16,16,0,10,38,1
semi,16,15,22,22,32,1
semi,16,14,73,45,30,2
semi,16,13,138,85,28,3
semi,16,12,267,173,26,5
semi,16,11,508,290,24,6
semi,16,10,839,493,22,8
semi,16,9,1246,636,20,9
semi,16,8,1507,711,18,11
semi,16,7,1440,572,16,13
semi,16,6,949,285,14,14
semi,16,5,391,90,12,16
semi,16,4,125,32,10,17
semi,16,3,40,10,8,19
