2,1
3,2
4,2,2
5,8,2
6,8,14,2
7,42,22,2
8,42,100,30,2
9,262,200,40,2
10,262,752,340,50,2
11,1828,1772,546,62,2
12,1828,5968,3516,810,74,2
13,13820,15818,6480,1170,88,2
14,13820,49566,35230,10948,1610,102,2
15,110954,143610,72174,17808,2180,118,2
16,110954,427580,349822,135092,27434,2856,134,2
17,933458,1328456,779502,241670,41246,3702,152,2
18,933458,3807200,3476110,1584952,408156,59736,4682,170,2
19,8152860,12513610,8294446,3065586,669006,85052,5878,190,2
20,8152860,34816270,34717772,18057566,5588308,1053446,117744,7240,210,2
21,73424650,119865856,87687178,37282532,9849406,1623340,160994,8868,232,2
22,73424650,325703336,349184078,202174358,72489674,16648452,2426888,215332,10698,254,2
23,678390116,1165777458,925302318,441207224,135922868,27450970,3569924,285252,12850,278,2
24,678390116,3107014138,3539266774,2240280798,906541750,244169906,43847272,5126898,371234,15242,302,2
25,6405031050,11494641496,9771953456,5127673790,1793153896,426899404,68719374,7269608,479426,18018,328,2
26,6405031050,30145730504,36155933236,24677860682,11051733878,3396104098,722325334,105008654,10109160,610100,21076,354,2
27,61606881612,114747571176,103440529038,58874151598,22904069206,6250012108,1196729072,158049508,13912716,771552,24584,382,2
28,61606881612,296861174940,372197114904,271000641518,132312140590,45438029342,11124470602,1931380856,233008610,18839132,963652,28420,410,2
29,602188541928,1158331933170,1098464948628,670478793876,285700736924,87492820578,19358656320,3064584562,339266360,25291876,1197308,32778,440,2
30,602188541928,2961880759174,3859662829474,2972311647308,1563466763518,590523787012,162876824646,32794833110,4758812456,485488250,33489458,1471844,37512,470,2
31,5969806669034,11811351133710,11707647153102,7594310493766,3501231075672,1183776644854,296115948094,54546411680,7286433988,687518540,44023688,1801320,42846,502,2
32,5969806669034,29897469262344,40302920432370,32599555093292,18299651456598,7506314578778,2293787175536,523860979306,88730281322,10955649610,959310636,57187710,2184214,48608,534,2
33,59923200729046,121544501379440,125267070807626,85716694410306,42336073574012,15599486790514,4337132101822,908960663970,142142103262,16277801502,1326698396,73827420,2638462,55052,568,2
34,59923200729046,304943404747736,423597903947194,357829999061408,212703784729114,93790924082930,31334499684026,7977934167758,1541779737108,223464482298,23811490298,1811416750,94325272,3161344,61980,602,2
35,608188709574124,1261194943541742,1345607568375674,965399477888626,506700507933564,201345781769786,61383540210150,14381671863218,2572894318172,346760362074,34478030584,2454291402,119866564,3775360,69678,638,2
36,608188709574124,3139547681462650,4479427609071960,3933011308048856,2459811353100934,1156253026045894,417807873010066,116965693409910,25336232165082,4211673998282,529449150650,49251158414,3288192408,150937074,4476296,77918,674,2
37,6234277838531806,13186378279251504,14511214968621068,10860215868275764,6016810041553472,2556242139594342,845189657248914,218292901148282,43880274723978,6798741735218,799327253684,69732024240,4375945868,189165700,5292002,87022,712,2
38,6234277838531806,32597767360886248,47639957311742744,43302385285887082,28341942784633328,14103366239450884,5463374620485098,1662986256508162,398059499190310,74521747101394,10793859604444,1189858842494,97561060990,5765958778,235157810,6216272,96730,750,2
39,64477712119584604,138831428468855740,157093306797219472,122114776687508044,71011925354961546,32025060339759234,11380169794410120,3203385336558910,713178823240522,124717280423346,16930203268064,1753820291130,135434495122,7552628500,291113198,7283312,107400,790,2
40,64477712119584604,341070909551229752,509376635753344588,477678505701324520,325698567505891100,170571833682222012,70315315375803360,23057071665260398,6028481290174756,1252656133955108,205207403499040,26171172307470,2553096579962,186033470786,9805645586,357769408,8484370,118740,830,2
41,672265814872772972,1471037277291733368,1706985881466060624,1373161335398602250,834146526959460882,396910811250677674,150442041845246650,45720463702446408,11141814185903476,2166957152122746,333350685476084,40027543721866,3684400961794,253772399408,12663830686,438055610,9860962,131146,872,2
42,672265814872772972,3593723811002124408,5473627306050831240,5280281840800535268,3736012417219313706,2048970280723223670,893250060303487798,313105714807502304,88567747135180076,20184501493669288,3684499478268800,533497988508366,60436331158166,5258373627988,342917743634,16225440778,532850452,11401300,144290,914,2
43,7060941974458061392,15678897752145603480,18614951038067421028,15447678428006945412,9762535003056120652,4876011300604771480,1958746320401210934,637633609973998432,168439867236042376,35997590781585746,6181762214207398,844226970936474,90392603715212,7446721651096,460517169320,20690822864,646000374,13155280,158610,958,2
44,7060941974458061392,38109371232198645224,59093657300939894168,58493699754770618362,42802959899208815552,24478343978393090522,11225449113163864894,4178681887462204620,1268566699801302900,313969211595523144,63089460617609534,10215301908691042,1318371575251540,133650319046920,10441382260818,613198038902,26195887732,778534178,15107344,173740,1002,2
45,74661728661167809752,168023317523279460548,203699882141269328230,173905567345257281788,113934548896494175480,59468108539608462764,25180297579132188268,8721673671700744286,2477155872789541088,575935426328493884,109057942123467362,16682375576722952,2038201903691442,195945295689574,14538665665738,811961387360,33024837356,935438574,17317104,190160,1048,2
