16,8,110954
17,8,933458
18,8,3807200
19,8,12513610
20,8,34717772
21,8,87687178
22,8,202174358
23,8,441207224
24,8,906541750
25,8,1793153896
26,8,3396104098
27,8,6250012108
28,8,11124470602
29,8,19358656320
30,8,32794833110
31,8,54546411680
32,8,88730281322
33,8,142142103262
34,8,223464482298
35,8,346760362074
36,8,529449150650
37,8,799327253684
38,8,1189858842494
39,8,1753820291130
40,8,2553096579962
41,8,3684400961794
42,8,5258373627988
43,8,7446721651096
44,8,10441382260818
45,8,14538665665738
46,8,20062626469652
47,8,27511672254352
48,8,37419614672424
49,8,50605533057832
50,8,67929327908542
51,8,90708777053522
52,8,120301058877456
53,8,158785452632052
54,8,208264146532680
55,8,271959823675448
56,8,353072833092464
57,8,456516198047930
58,8,587084856805186
59,8,752155100139926
60,8,958805228323500
61,8,1217953639181862
62,8,1539906245524924
63,8,1940612024309414
64,8,2434884558304950
65,8,3045735155198652
66,8,3794202185515112
67,8,4713104852371292
68,8,5831987387063628
69,8,7197152174279700
70,8,8849651789185150
71,8,10854148534800256
72,8,13267121228069784
73,8,16178009452321136
74,8,19663789514283718
75,8,23847056832271388
76,8,28831799207163146
77,8,34784626748196502
78,8,41844845185887726
79,8,50237054827107280
80,8,60146399308171066
81,8,71873336832677666
82,8,85662086116638370
83,8,101911664553851932
84,8,120941919279317238
85,8,143279098215852268
86,8,169339256368748354
87,8,199811878688965578
88,8,235234670467092212
89,8,276505329228284392
90,8,324314497600932380
91,8,379823976487799996
92,8,443915625875940794
93,8,518084464825175502
94,8,603450179979028780
95,8,701926077511409498
96,8,814926158139782912
97,8,944886253261497400
98,8,1093582834136335702
99,8,1264101436635753086
100,8,1458662889598807828
101,8,1681156967664122252
102,8,1934346838685290644
103,8,2223113551416110182
104,8,2550879394015167122
105,8,2923742205589610376
106,8,3345922059875110278
107,8,3825004515799648400
108,8,4366171485656862156
109,8,4978820602106491866
110,8,5669289029687664972
111,8,6449173484104090612
112,8,7326193646387476438
113,8,8314605593362595200
114,8,9423777695717601808
115,8,10671171106549253030
116,8,12068113657743356076
117,8,13635916646643839758
118,8,15388229114592540958
119,8,17350972807117673870
120,8,19540537831727283910
121,8,21988350004075537324
122,8,24714026425650777338
123,8,27755544460176518030
124,8,31136309065990152714
125,8,34902073776699800544
126,8,39080677046864022966
127,8,43727076690731723316
128,8,48874285988894505718
129,8,54588128376467706848
130,8,60907641050970866242
131,8,67911441159022625662
132,8,75645559984928864206
133,8,84203640932806531548
134,8,93639815298665931262
135,8,104065332075368997724
136,8,115543680384583531882
137,8,128206688377273176100
138,8,142128630401119097052
139,8,157465334669152693808
140,8,174303477132864216918
141,8,192826813615448558428
142,8,213136248223742781596
143,8,235447964744523688966
144,8,259879155288752165672
145,8,286683578442703059874
146,8,315997032668339605106
147,8,348116726587035526090
148,8,383199669260541058616
149,8,421593213950169910924
150,8,463478500207843650564
151,8,509260640771818851750
152,8,559148173463735079652
153,8,613612617235536790908
154,8,672893558741084916482
155,8,737538725273977405390
156,8,807822823351147310516
157,8,884380882499841405850
158,8,967527261263021648584
159,8,1057996827451089141834
160,8,1156148628721263567978
161,8,1262831515055272448836
