1	0
2	0
3	2
4	6
5	26
6	78
7	288
8	888
9	3130
10	9850
11	34112
12	108998
13	374636
14	1211046
15	4148816
16	13533796
17	46304730
18	152153758
19	520434552
20	1720325302
21	5885686496
22	19552190624
23	66927118548
24	223264746520
25	764725528072
26	2560239468774
27	8775478294368
28	29470844083770
29	101086972051588
30	340402753234062
31	1168436895564844
32	3944017306335208
33	13547274522361334
34	45825190026174086
35	157509418611616336
36	533800984599269406
37	1835935724365427060
38	6232573108479793332
39	21449023227499986792
40	72926116412627190200
41	251114332852950299260
42	854970531748137409120
43	2945604750471729252828

