n,k,buckets,nLess_k,nLess_kHalf,nLess_kOdd,expGrowth,kOdd,x,offset,A005316
28,15,189339,13,7,TRUE,TRUE,TRUE,10.99,1.556,92237.16558
29,16,236133,13,7,TRUE,TRUE,FALSE,10.99,0.834,49438.1723
30,17,280349,13,7,TRUE,TRUE,TRUE,10.99,1.556,92237.16558
31,18,332563,13,7,TRUE,TRUE,FALSE,10.99,0.834,49438.1723
32,19,378801,13,7,TRUE,TRUE,TRUE,10.99,1.556,92237.16558
33,20,433035,13,7,TRUE,TRUE,FALSE,10.99,0.834,49438.1723
34,21,479697,13,7,TRUE,TRUE,TRUE,10.99,1.556,92237.16558
35,22,534355,13,7,TRUE,TRUE,FALSE,10.99,0.834,49438.1723
36,23,581063,13,7,TRUE,TRUE,TRUE,10.99,1.556,92237.16558
37,24,635767,13,7,TRUE,TRUE,FALSE,10.99,0.834,49438.1723
38,25,682477,13,7,TRUE,TRUE,TRUE,10.99,1.556,92237.16558
39,26,737183,13,7,TRUE,TRUE,FALSE,10.99,0.834,49438.1723
40,27,783893,13,7,TRUE,TRUE,TRUE,10.99,1.556,92237.16558
41,28,838599,13,7,TRUE,TRUE,FALSE,10.99,0.834,49438.1723
42,29,885309,13,7,TRUE,TRUE,TRUE,10.99,1.556,92237.16558
43,30,940015,13,7,TRUE,TRUE,FALSE,10.99,0.834,49438.1723
44,31,986725,13,7,TRUE,TRUE,TRUE,10.99,1.556,92237.16558
45,32,1041431,13,7,TRUE,TRUE,FALSE,10.99,0.834,49438.1723
30,16,439394,14,7,FALSE,TRUE,FALSE,10.99,1.5803,93677.63032
31,17,539352,14,7,FALSE,TRUE,TRUE,10.99,1.8047,106979.6997
32,18,644901,14,7,FALSE,TRUE,FALSE,10.99,1.5803,93677.63032
33,19,753455,14,7,FALSE,TRUE,TRUE,10.99,1.8047,106979.6997
34,20,867568,14,7,FALSE,TRUE,FALSE,10.99,1.5803,93677.63032
35,21,978874,14,7,FALSE,TRUE,TRUE,10.99,1.8047,106979.6997
36,22,1095737,14,7,FALSE,TRUE,FALSE,10.99,1.5803,93677.63032
37,23,1207553,14,7,FALSE,TRUE,TRUE,10.99,1.8047,106979.6997
38,24,1324926,14,7,FALSE,TRUE,FALSE,10.99,1.5803,93677.63032
39,25,1436792,14,7,FALSE,TRUE,TRUE,10.99,1.8047,106979.6997
40,26,1554215,14,7,FALSE,TRUE,FALSE,10.99,1.5803,93677.63032
41,27,1666083,14,7,FALSE,TRUE,TRUE,10.99,1.8047,106979.6997
42,28,1783508,14,7,FALSE,TRUE,FALSE,10.99,1.5803,93677.63032
43,29,1895376,14,7,FALSE,TRUE,TRUE,10.99,1.8047,106979.6997
44,30,2012801,14,7,FALSE,TRUE,FALSE,10.99,1.5803,93677.63032
45,31,2124669,14,7,FALSE,TRUE,TRUE,10.99,1.8047,106979.6997
32,17,1003146,15,8,TRUE,TRUE,TRUE,12.56,1.556,443351.6054
33,18,1232751,15,8,TRUE,TRUE,FALSE,12.56,0.834,237631.9016
34,19,1455199,15,8,TRUE,TRUE,TRUE,12.56,1.556,443351.6054
35,20,1713264,15,8,TRUE,TRUE,FALSE,12.56,0.834,237631.9016
36,21,1948698,15,8,TRUE,TRUE,TRUE,12.56,1.556,443351.6054
37,22,2219713,15,8,TRUE,TRUE,FALSE,12.56,0.834,237631.9016
38,23,2458789,15,8,TRUE,TRUE,TRUE,12.56,1.556,443351.6054
39,24,2733444,15,8,TRUE,TRUE,FALSE,12.56,0.834,237631.9016
40,25,2973124,15,8,TRUE,TRUE,TRUE,12.56,1.556,443351.6054
41,26,3248383,15,8,TRUE,TRUE,FALSE,12.56,0.834,237631.9016
42,27,3488117,15,8,TRUE,TRUE,TRUE,12.56,1.556,443351.6054
43,28,3763430,15,8,TRUE,TRUE,FALSE,12.56,0.834,237631.9016
44,29,4003166,15,8,TRUE,TRUE,TRUE,12.56,1.556,443351.6054
45,30,4278481,15,8,TRUE,TRUE,FALSE,12.56,0.834,237631.9016
34,18,2311329,16,8,FALSE,TRUE,FALSE,12.56,1.5803,450275.4126
35,19,2805336,16,8,FALSE,TRUE,TRUE,12.56,1.8047,514213.7803
36,20,3324541,16,8,FALSE,TRUE,FALSE,12.56,1.5803,450275.4126
37,21,3866456,16,8,FALSE,TRUE,TRUE,12.56,1.8047,514213.7803
38,22,4433267,16,8,FALSE,TRUE,FALSE,12.56,1.5803,450275.4126
39,23,4994096,16,8,FALSE,TRUE,TRUE,12.56,1.8047,514213.7803
40,24,5579781,16,8,FALSE,TRUE,FALSE,12.56,1.5803,450275.4126
41,25,6145318,16,8,FALSE,TRUE,TRUE,12.56,1.8047,514213.7803
42,26,6735709,16,8,FALSE,TRUE,FALSE,12.56,1.5803,450275.4126
43,27,7301952,16,8,FALSE,TRUE,TRUE,12.56,1.8047,514213.7803
44,28,7893049,16,8,FALSE,TRUE,FALSE,12.56,1.5803,450275.4126
45,29,8459350,16,8,FALSE,TRUE,TRUE,12.56,1.8047,514213.7803
36,19,5281405,17,9,TRUE,TRUE,TRUE,14.13,1.556,2131035.193
37,20,6404525,17,9,TRUE,TRUE,FALSE,14.13,0.834,1142212.951
38,21,7512109,17,9,TRUE,TRUE,TRUE,14.13,1.556,2131035.193
39,22,8779423,17,9,TRUE,TRUE,FALSE,14.13,0.834,1142212.951
40,23,9963639,17,9,TRUE,TRUE,TRUE,14.13,1.556,2131035.193
41,24,11307209,17,9,TRUE,TRUE,FALSE,14.13,0.834,1142212.951
42,25,12518133,17,9,TRUE,TRUE,TRUE,14.13,1.556,2131035.193
43,26,13888367,17,9,TRUE,TRUE,FALSE,14.13,0.834,1142212.951
44,27,15105257,17,9,TRUE,TRUE,TRUE,14.13,1.556,2131035.193
45,28,16481455,17,9,TRUE,TRUE,FALSE,14.13,0.834,1142212.951
38,20,12103327,18,9,FALSE,TRUE,FALSE,14.13,1.5803,2164315.498
39,21,14532802,18,9,FALSE,TRUE,TRUE,14.13,1.8047,2471644.738
40,22,17076571,18,9,FALSE,TRUE,FALSE,14.13,1.5803,2164315.498
41,23,19760568,18,9,FALSE,TRUE,TRUE,14.13,1.8047,2471644.738
42,24,22556659,18,9,FALSE,TRUE,FALSE,14.13,1.5803,2164315.498
43,25,25358758,18,9,FALSE,TRUE,TRUE,14.13,1.8047,2471644.738
44,26,28272493,18,9,FALSE,TRUE,FALSE,14.13,1.5803,2164315.498
45,27,31111320,18,9,FALSE,TRUE,TRUE,14.13,1.8047,2471644.738
40,21,27635220,19,10,TRUE,TRUE,TRUE,15.7,1.556,10243136.46
41,22,33113935,19,10,TRUE,TRUE,FALSE,15.7,0.834,5490215.816
42,23,38585142,19,10,TRUE,TRUE,TRUE,15.7,1.556,10243136.46
43,24,44777107,19,10,TRUE,TRUE,FALSE,15.7,0.834,5490215.816
44,25,50675012,19,10,TRUE,TRUE,TRUE,15.7,1.556,10243136.46
45,26,57290683,19,10,TRUE,TRUE,FALSE,15.7,0.834,5490215.816
42,22,63087090,20,10,FALSE,TRUE,FALSE,15.7,1.5803,10403103.18
43,23,74987273,20,10,FALSE,TRUE,TRUE,15.7,1.8047,11880326.72
44,24,87409266,20,10,FALSE,TRUE,FALSE,15.7,1.5803,10403103.18
45,25,100616971,20,10,FALSE,TRUE,TRUE,15.7,1.8047,11880326.72
44,23,143780447,21,11,TRUE,TRUE,TRUE,17.27,1.556,49235153.37
45,24,170443790,21,11,TRUE,TRUE,FALSE,17.27,0.834,26389535.93
