n,k,buckets
4,2,4
8,4,31
10,4,77
12,6,160
14,6,451
16,8,766
18,8,2409
20,10,3592
20,8,5494
22,10,12271
24,12,16726
24,10,32863
26,12,60768
28,14,77653
28,12,183064
30,14,295535
32,16,359950
30,12,462019
32,14,970381
34,16,1419716
36,18,1666843
34,14,2779663
36,16,4970764
36,14,6663680
38,18,6760789
40,20,7713316
38,16,15644708
40,18,24860637
42,20,31988766
44,22,35674291
40,16,42829652
42,18,83959724
44,20,122221119
44,18,254319951
