n,k,buckets
3,2,3
5,2,9
7,4,20
9,4,61
11,6,100
13,6,329
15,8,468
17,8,1653
19,10,2156
19,8,4267
21,10,8056
23,12,9903
23,10,23726
25,12,38631
27,14,45494
25,10,56405
27,12,125113
29,14,183418
31,16,209157
29,12,344639
31,14,637022
33,16,865071
35,18,962310
33,14,1953451
35,16,3167211
37,18,4060680
39,20,4430191
35,14,5107533
37,16,10508770
39,18,15486485
41,20,18994094
43,22,20404957
39,16,30858030
41,18,54515804
43,20,74812320
41,16,76708059
45,22,88608749
43,18,174518576
