n,k,buckets
2,1,1
6,3,13
10,5,71
12,5,188
14,7,347
16,7,1042
18,9,1643
20,9,5428
22,11,7692
22,9,13497
24,11,27264
26,13,35832
26,11,77851
28,13,133841
30,15,166470
30,13,422612
32,15,647118
34,17,772103
32,13,1142431
34,15,2200428
36,17,3095876
38,19,3576992
36,15,6633729
38,17,11131563
40,19,14698138
42,21,16557686
38,15,17071836
40,17,36397455
42,19,55177416
44,21,69384848
42,17,105195927
44,19,191816100
44,17,258090741
