oeisID,n,boundary,buckets,arcCodes,arcCodeBitWidth,crossingsBitWidth
A000682,20,14,1465,905,30,8
A000682,20,13,2690,1550,28,9
A000682,20,12,4523,2549,26,11
A000682,20,11,6656,3462,24,13
A000682,20,10,8610,4118,22,14
A000682,20,9,9056,3912,20,16
A000682,20,8,7279,2507,18,17
A000682,20,7,3690,895,16,19
A000682,20,6,1254,286,14,21
A000682,20,5,392,90,12,22
A000682,20,4,125,32,10,24
A000682,20,3,40,10,8,25
A000682,20,2,12,4,6,27
A000682,20,1,3,1,4,27
A000682,21,21,0,12,48,1
A000682,21,20,30,30,42,1
A000682,21,19,99,62,40,2
A000682,21,18,205,128,38,3
A000682,21,17,407,267,36,5
A000682,21,16,872,522,34,6
A000682,21,15,1614,994,32,8
A000682,21,14,3109,1833,30,9
A000682,21,13,5329,3030,28,11
A000682,21,12,8588,4699,26,13
A000682,21,11,11974,5966,24,14
A000682,21,10,14374,6737,22,16
A000682,21,9,14089,5633,20,17
A000682,21,8,9518,2886,18,19
A000682,21,7,4023,895,16,21
A000682,21,6,1254,286,14,22
A000682,21,5,392,90,12,24
A000682,21,4,125,32,10,26
A000682,21,3,40,10,8,27
A000682,21,2,12,4,6,28
A000682,21,1,3,1,4,29
A000682,22,22,0,13,50,1
A000682,22,21,31,31,44,1
A000682,22,20,106,66,42,2
A000682,22,19,213,133,40,3
A000682,22,18,438,290,38,5
A000682,22,17,928,554,36,6
A000682,22,16,1778,1111,34,8
A000682,22,15,3426,2021,32,9
A000682,22,14,6197,3620,30,11
A000682,22,13,10261,5705,28,13
A000682,22,12,15617,8145,26,14
A000682,22,11,20195,9856,24,16
A000682,22,10,22679,9997,22,17
A000682,22,9,19410,7211,20,19
A000682,22,8,11262,2949,18,21
A000682,22,7,4086,895,16,22
A000682,22,6,1254,286,14,24
A000682,22,5,392,90,12,26
A000682,22,4,125,32,10,27
A000682,22,3,40,10,8,29
A000682,22,2,12,4,6,30
A000682,22,1,3,1,4,30
A000682,23,23,0,13,52,1
A000682,23,22,33,33,46,1
A000682,23,21,110,69,44,2
A000682,23,20,230,144,42,3
A000682,23,19,464,306,40,5
A000682,23,18,1012,610,38,6
A000682,23,17,1927,1200,36,8
A000682,23,16,3845,2304,34,9
A000682,23,15,7005,4103,32,11
A000682,23,14,12353,7098,30,13
A000682,23,13,19613,10485,28,14
A000682,23,12,27851,14263,26,16
A000682,23,11,34776,16312,24,17
A000682,23,10,35619,15086,22,19
A000682,23,9,27035,8835,20,21
A000682,23,8,12699,2950,18,22
A000682,23,7,4087,895,16,24
A000682,23,6,1254,286,14,26
A000682,23,5,392,90,12,27
A000682,23,4,125,32,10,29
A000682,23,3,40,10,8,30
A000682,23,2,12,4,6,32
A000682,23,1,3,1,4,32
A000682,24,24,0,14,54,1
A000682,24,23,34,34,48,1
A000682,24,22,117,73,46,2
A000682,24,21,238,149,44,3
A000682,24,20,495,329,42,5
A000682,24,19,1068,642,40,6
A000682,24,18,2091,1317,38,8
A000682,24,17,4162,2492,36,9
A000682,24,16,7875,4695,34,11
A000682,24,15,14056,8132,32,13
A000682,24,14,23886,13242,30,14
A000682,24,13,35546,18700,28,16
A000682,24,12,48228,23638,26,17
A000682,24,11,55361,25283,24,19
A000682,24,10,51780,20167,22,21
A000682,24,9,33109,9631,20,22
A000682,24,8,13432,2950,18,24
A000682,24,7,4087,895,16,26
A000682,24,6,1254,286,14,27
A000682,24,5,392,90,12,29
A000682,24,4,125,32,10,31
A000682,24,3,40,10,8,32
A000682,24,2,12,4,6,33
A000682,24,1,3,1,4,34
A000682,25,25,0,14,56,1
A000682,25,24,36,36,50,1
A000682,25,23,121,76,48,2
A000682,25,22,255,160,46,3
A000682,25,21,521,345,44,5
A000682,25,20,1152,698,42,6
A000682,25,19,2240,1406,40,8
A000682,25,18,4581,2775,38,9
A000682,25,17,8683,5178,36,11
A000682,25,16,16178,9555,34,13
A000682,25,15,28096,15768,32,14
A000682,25,14,45056,24625,30,16
A000682,25,13,65039,32983,28,17
A000682,25,12,82793,40065,26,19
A000682,25,11,90239,39122,24,21
A000682,25,10,74138,26527,22,22
A000682,25,9,39904,9823,20,24
A000682,25,8,13623,2950,18,26
A000682,25,7,4087,895,16,27
A000682,25,6,1254,286,14,29
A000682,25,5,392,90,12,31
A000682,25,4,125,32,10,32
A000682,25,3,40,10,8,34
A000682,25,2,12,4,6,35
A000682,25,1,3,1,4,36
A000682,26,26,0,15,58,1
A000682,26,25,37,37,52,1
A000682,26,24,128,80,50,2
A000682,26,23,263,165,48,3
A000682,26,22,552,368,46,5
A000682,26,21,1208,730,44,6
A000682,26,20,2404,1523,42,8
A000682,26,19,4898,2963,40,9
A000682,26,18,9553,5770,38,11
A000682,26,17,17883,10591,36,13
A000682,26,16,32583,18735,34,14
A000682,26,15,53729,29850,32,16
A000682,26,14,83119,43601,30,17
A000682,26,13,112605,56314,28,19
A000682,26,12,136324,63216,26,21
A000682,26,11,134146,55180,24,22
A000682,26,10,96401,30509,22,24
A000682,26,9,43344,9823,20,26
A000682,26,8,13623,2950,18,27
A000682,26,7,4087,895,16,29
A000682,26,6,1254,286,14,31
A000682,26,5,392,90,12,32
A000682,26,4,125,32,10,34
A000682,26,3,40,10,8,36
A000682,26,2,12,4,6,37
A000682,26,1,3,1,4,37
A000682,27,27,0,15,60,1
A000682,27,26,39,39,54,1
A000682,27,25,132,83,52,2
A000682,27,24,280,176,50,3
A000682,27,23,578,384,48,5
A000682,27,22,1292,786,46,6
A000682,27,21,2553,1612,44,8
A000682,27,20,5317,3246,42,9
A000682,27,19,10361,6253,40,11
A000682,27,18,20007,12016,38,13
A000682,27,17,36827,21293,36,14
A000682,27,16,64215,36691,34,16
A000682,27,15,103210,55382,32,17
A000682,27,14,150571,78026,30,19
A000682,27,13,198326,96450,28,21
A000682,27,12,224238,100970,26,22
A000682,27,11,200991,76211,24,24
A000682,27,10,121280,33280,22,26
A000682,27,9,45925,9823,20,27
A000682,27,8,13623,2950,18,29
A000682,27,7,4087,895,16,31
A000682,27,6,1254,286,14,32
A000682,27,5,392,90,12,34
A000682,27,4,125,32,10,36
A000682,27,3,40,10,8,37
A000682,27,2,12,4,6,38
A000682,27,1,3,1,4,39
A000682,28,28,0,16,62,1
A000682,28,27,40,40,56,1
A000682,28,26,139,87,54,2
A000682,28,25,288,181,52,3
A000682,28,24,609,407,50,5
A000682,28,23,1348,818,48,6
A000682,28,22,2717,1729,46,8
A000682,28,21,5634,3434,44,9
A000682,28,20,11231,6845,42,11
A000682,28,19,21712,13052,40,13
A000682,28,18,41348,24294,38,14
A000682,28,17,73164,42160,36,16
A000682,28,16,124546,68828,34,17
A000682,28,15,189339,100347,32,19
A000682,28,14,266489,133964,30,21
A000682,28,13,329564,156729,28,22
A000682,28,12,346088,147507,26,24
A000682,28,11,271474,93600,24,26
A000682,28,10,139089,33535,22,27
A000682,28,9,46180,9823,20,29
A000682,28,8,13623,2950,18,31
A000682,28,7,4087,895,16,32
A000682,28,6,1254,286,14,34
A000682,28,5,392,90,12,36
A000682,28,4,125,32,10,37
A000682,28,3,40,10,8,39
A000682,28,2,12,4,6,40
A000682,28,1,3,1,4,41
A000682,29,29,0,16,64,1
A000682,29,28,42,42,58,1
A000682,29,27,143,90,56,2
A000682,29,26,305,192,54,3
A000682,29,25,635,423,52,5
A000682,29,24,1432,874,50,6
A000682,29,23,2866,1818,48,8
A000682,29,22,6053,3717,46,9
A000682,29,21,12039,7328,44,11
A000682,29,20,23836,14477,42,13
A000682,29,19,45594,26854,40,14
A000682,29,18,83926,49273,38,16
