n,k,buckets
5,3,7
7,3,23
9,5,42
11,5,138
13,7,207
15,7,723
17,9,974
17,7,1739
19,9,3599
21,11,4522
21,9,10072
23,11,17472
25,13,20903
25,11,54528
27,13,83606
29,15,96475
27,11,140580
29,13,282471
31,15,396395
33,17,445014
31,13,825471
33,15,1420971
35,17,1867575
33,13,2008683
37,19,2052330
35,15,4550074
37,17,7005499
39,19,8759139
41,21,9464570
37,15,12665465
39,17,24006862
41,19,34045550
43,21,40943562
45,23,43647717
41,17,73853223
43,19,122844418
45,21,163720027
43,17,196080750
